molecule_id,smiles,type,units,value,molecular_weight,pIC50
CHEMBL231295,N[C@H]1CN(c2ccc3ncnc(C4CC4)c3n2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,IC50,nM,8.0,513.4420000000001,8.096910013008056
CHEMBL231395,Cc1nc2ccc(N3CC[C@H](c4cc(F)c(F)cc4F)[C@@H](N)C3)nc2c(=O)[nH]1.O=C(O)C(F)(F)F,IC50,nM,7.0,503.40300000000013,8.154901959985743
CHEMBL231396,N[C@H]1CN(c2ccc3nc(=O)ccn3n2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,IC50,nM,1.2,489.3760000000001,8.920818753952375
CHEMBL231397,Cc1cc(=O)n2nc(N3CC[C@H](c4cc(F)c(F)cc4F)[C@@H](N)C3)ccc2n1.O=C(O)C(F)(F)F,IC50,nM,8.0,503.40300000000013,8.096910013008056
CHEMBL231496,N[C@H]1CN(c2ccc3nncn3n2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,IC50,nM,31.0,462.35400000000004,7.508638306165727
CHEMBL231497,Cc1nnc2ccc(N3CC[C@H](c4cc(F)c(F)cc4F)[C@@H](N)C3)nn12.O=C(O)C(F)(F)F,IC50,nM,6.0,476.3810000000001,8.221848749616356
CHEMBL231551,N[C@@H](CC(=O)N1CCC[C@H]1C(=O)NCc1ccccc1)Cc1ccccc1F,IC50,nM,539.0,383.4670000000001,6.268411234813261
CHEMBL231552,N[C@@H](CC(=O)N1CCC[C@H]1C(=O)NCc1ccc(C(F)(F)F)cc1)Cc1ccccc1F,IC50,nM,731.0,451.4640000000001,6.13608262304214
CHEMBL231653,CSc1cc(F)c(C[C@@H](N)CC(=O)N2CCn3c(nnc3C(F)(F)F)C2)cc1F,IC50,nM,780.0,435.422,6.107905397309519
CHEMBL231654,N[C@H](C(=O)N1CCC(F)(F)C1)[C@@H]1CCN(S(=O)(=O)c2ccc(OC(F)(F)F)cc2)C1,IC50,nM,995.0,457.4210000000001,6.002176919254275
CHEMBL231697,CC(C)(CO)NCC(=O)N1CCC[C@H]1C(=O)c1noc(C(C)(C)C)n1,IC50,nM,223.0,352.4350000000001,6.651695136951839
CHEMBL231698,Cc1nc(C(=O)[C@@H]2CCCN2C(=O)CNC(C)(C)C(=O)O)no1,IC50,nM,7939.0,324.33700000000005,5.100234198055614
CHEMBL23176,N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1,IC50,nM,25.0,377.51000000000016,7.6020599913279625
CHEMBL231994,COc1ccc(N2CCC(N)C(c3cccc(C)c3)C2)cc1OC,IC50,nM,600.0,326.4400000000001,6.221848749616356
CHEMBL231995,COc1cccc(C2CN(c3ccc(OC)c(OC)c3)CCC2N)c1,IC50,nM,25600.0,342.4390000000001,4.59176003468815
CHEMBL231996,COc1ccc(N2CCC(N)C(c3ccccn3)C2)cc1OC,IC50,nM,8900.0,313.4010000000001,5.050609993355087
CHEMBL232103,CN(C)C(=O)[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,IC50,nM,1.8,264.32899999999995,8.744727494896694
CHEMBL232111,Cc1nnc(C(=O)[C@@H]2CSCN2C(=O)CNC23CC4CC(CC(C4)C2)C3)o1,IC50,nM,224.0,390.50900000000024,6.649751981665837
CHEMBL232153,CC(C)(Cc1ccc(F)cc1)NCC(=O)N1CCC[C@H]1C(=O)c1ncon1,IC50,nM,35.0,374.4160000000001,7.455931955649724
CHEMBL232185,CC(C)(CO)NCC(=O)N1C[C@@H](F)C[C@H]1C(=O)c1nnc(C(C)(C)C)o1,IC50,nM,22.0,370.4250000000001,7.657577319177793
CHEMBL232191,N[C@H]1C[C@H](N2CCn3c(nnc3C(F)(F)F)C2)CCC1c1cc(F)c(F)cc1F,IC50,nM,140.0,419.3730000000001,6.853871964321762
CHEMBL23223,N[C@H](C(=O)N1CCSC1)C1CCCCC1,IC50,nM,89.0,228.36099999999993,7.050609993355087
CHEMBL232262,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cccc(F)c1,IC50,nM,135.0,371.33800000000014,6.8696662315049934
CHEMBL232311,CN(C)C(=O)CC[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,IC50,nM,2.4,292.38300000000004,8.619788758288394
CHEMBL232315,N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@H](C(N)=O)CN1,IC50,nM,7.7,236.275,8.113509274827518
CHEMBL232316,CCNC(=O)[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,IC50,nM,4.4,264.32899999999995,8.356547323513812
CHEMBL232570,Cc1cc(C)c(-c2nnc(C(=O)[C@@H]3CCCN3C(=O)CNC(C)(C)C)o2)c(C)c1,IC50,nM,17.0,398.5070000000002,7.769551078621726
CHEMBL232571,CC(C)(C)NCC(=O)N1CCC[C@H]1C(=O)c1nnc(C2(C)CCCCC2)o1,IC50,nM,10.0,376.50100000000026,8.0
CHEMBL232572,Cc1nnc(C(=O)[C@@H]2CCCN2C(=O)CNC(C)(C)CO)o1,IC50,nM,255.0,310.35400000000004,6.5934598195660445
